idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
 379,   23,        Z0,22, 276, 276, 382, 382, 556,  23,310.30410767,2.51362896,-1.20557261,110.82767804,-289.83765286,1903.51267209,91.18759918,0.10354169,0.16852623,-1.96723270
 383,   16,    nu_tau, 1, 377, 377,  -1,  -1,  23,   0,21.01106262,0.82181042,-1.78562713,-4.47918289,-20.52807037,19.27743061,-0.00000024,0.10354169,0.16852623,-1.96723270
 384,  -16, nu_taubar, 1, 377, 377,  -1,  -1,  23,   0,116.84459686,1.11221862,2.21781707,-70.43532324,93.22834900,158.45700912,-0.00000191,0.10354169,0.16852623,-1.96723270
 385,    2,         u,23, 382, 382, 389, 389,  23,   2,217.36657715,2.38661551,-1.38177156,40.84342281,-213.49483290,1172.11443324,0.33000001,0.10354169,0.16852623,-1.96723270
 386,   -2,      ubar,23, 382, 382, 387, 388,  23,  -2,103.56652069,2.65286660,-0.82882535,69.98425839,-76.34283061,731.39825860,0.33000001,0.10354169,0.16852623,-1.96723270
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,   6,   6,   4,   5,  -2,-556,0.00000000,22937.20898438,0.00000000,0.00000000,0.00000000,181.20898438,0.00000000,0.10278703,0.16920371,-2.57244849
   3,    2,         u,21,   7,   7,   4,   5,   2,-556,0.00000000,-24716.30859375,0.00000000,0.00000000,0.00000000,-1960.30859375,0.00000000,0.10278703,0.16920371,-2.57244849
   4, -556,     P-556,22,   2,   3,   8,   8,  -2,-556,290.29534912,-0.09002686,-3.02810860,-288.42805107,-32.87322736,-26.16969422,200.00003052,0.10278703,0.16920371,-2.57244849
   5,  556,      P556,22,   2,   3,   9,   9,  -2, 556,290.29534912,-2.49807930,0.11348414,288.42804820,32.87325258,-1752.93027716,200.00006104,0.10278703,0.16920371,-2.57244849
1197,  -11,        e+,23, 907, 907,1199,1200,-556, -11,57.43847275,-0.06023410,-1.55546677,0.88047178,-57.43172400,-3.46184694,0.00051100,0.10278703,0.16920371,-2.57244849
1198,   23,        Z0,22, 907, 907,1201,1201,-556,  23,242.36825562,0.00791032,3.08975029,-242.04263038,12.55931569,1.91723013,91.18759918,0.10278703,0.16920371,-2.57244849
1202,   11,        e-,23, 908, 908,1204,1205, 556,  11,30.03930283,-1.75081158,2.01530242,-12.91726135,27.12017835,-83.89439432,0.00051100,0.10278703,0.16920371,-2.57244849
1203,   23,        Z0,22, 908, 908,1206,1206, 556,  23,332.97247314,-2.36375856,0.06620102,332.24310124,22.02701872,-1754.22670317,91.18759918,0.10278703,0.16920371,-2.57244849
1210,    3,         s,23,1201,1201,1214,1214,  23,   3,83.21452332,-0.37411350,2.74457645,-76.74200107,32.17642247,-31.86297852,0.50000000,0.10278703,0.16920371,-2.57244849
1211,   -3,      sbar,23,1201,1201,1212,1213,  23,  -3,166.45852661,0.20156680,-3.02346611,-165.29850528,-19.61747267,33.78017644,0.50000000,0.10278703,0.16920371,-2.57244849
1260,    2,         u,23,1206,1206,1264,1264,  23,   2,70.69373322,-2.61426210,0.51272982,61.60312848,34.67936673,-480.14877196,0.33000001,0.10278703,0.16920371,-2.57244849
1261,   -2,      ubar,23,1206,1206,1262,1263,  23,  -2,268.12896729,-2.25159550,-0.04744459,267.82724615,-12.71649773,-1259.89168186,0.33000001,0.10278703,0.16920371,-2.57244849
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,22848.37695312,0.00000000,0.00000000,0.00000000,92.37695312,0.00000000,0.10382489,0.17115813,-1.46177244
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-24127.58984375,0.00000000,0.00000000,0.00000000,-1371.58984375,0.00000000,0.10382489,0.17115813,-1.46177244
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,128.15837097,-2.92008996,2.58861017,-109.05788161,67.31230578,-1184.76176977,200.00009155,0.10382489,0.17115813,-1.46177244
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,128.15837097,-0.68270046,-0.55298245,109.05788375,-67.31230231,-94.45044862,199.99980164,0.10382489,0.17115813,-1.46177244
1092,  -11,        e+,23, 832, 832,1094,1095,-556, -11,49.81820679,-2.48399568,0.40175453,45.85149839,19.48060120,-296.55941580,0.00051097,0.10382489,0.17115813,-1.46177244
1093,   23,        Z0,22, 832, 832,1096,1096,-556,  23,168.33749390,-2.36655927,2.77333903,-157.05171759,60.59925621,-889.39816515,91.18759918,0.10382489,0.17115813,-1.46177244
1097,   11,        e-, 1, 833, 833,  -1,  -1, 556,   0,68.45555878,-0.99566746,-1.63233614,-4.21008373,-68.32597400,-79.99215095,0.00051100,0.10382489,0.17115813,-1.46177244
1098,   23,        Z0,22, 833, 833,1128,1129, 556,  16,113.82184601,-0.09474133,0.10726107,113.16771693,12.18525639,-10.79977243,91.18759918,0.10382489,0.17115813,-1.46177244
1099,    1,         d,23,1096,1096,1101,1102,  23,   1,65.61386108,-2.33271050,-2.81121850,-62.06553142,-21.28493777,-334.91956790,0.33000001,0.10382489,0.17115813,-1.46177244
1100,   -1,      dbar,23,1096,1096,1103,1103,  23,  -1,125.38437653,-2.19215059,2.43004394,-94.96004067,81.87693542,-554.37281962,0.33000001,0.10382489,0.17115813,-1.46177244
1128,   16,    nu_tau, 1,1098,1098,  -1,  -1,  23,   0,74.45133972,-0.52725416,-0.28350002,71.47941382,-20.82535439,-41.09901254,0.00000000,0.10382489,0.17115813,-1.46177244
1129,  -16, nu_taubar, 1,1098,1098,  -1,  -1,  23,   0,53.17532349,0.54275572,0.66974759,41.68830414,33.01060929,30.29923693,0.00000000,0.10382489,0.17115813,-1.46177244
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,   6,   6,   4,   5,  -2,-556,0.00000000,22835.63476562,0.00000000,0.00000000,0.00000000,79.63476562,0.00000000,0.10412201,0.16852099,6.88613176
   3,    2,         u,21,   7,   7,   4,   5,   2,-556,0.00000000,-23740.56054688,0.00000000,0.00000000,0.00000000,-984.56054688,0.00000000,0.10412201,0.16852099,6.88613176
   4, -556,     P-556,22,   2,   3,   8,   8,  -2,-556,90.59004974,-2.85286736,-0.35294124,85.00608856,-31.31328824,-782.68646405,200.00001526,0.10412201,0.16852099,6.88613176
   5,  556,      P556,22,   2,   3,   9,   9,  -2, 556,90.59004974,-1.10819125,2.78865147,-85.00609036,31.31328334,-122.23856121,200.00195312,0.10412201,0.16852099,6.88613176
 241,  -11,        e+,23, 182, 182, 243, 244,-556, -11,106.48174286,-2.43590808,-0.67364347,83.22122403,-66.42732444,-603.68075955,0.00051100,0.10412201,0.16852099,6.88613176
 242,   23,        Z0,22, 182, 182, 245, 245,-556,  23,21.22682190,-2.88801718,1.21157146,7.46226138,19.87190537,-190.00108002,91.18759918,0.10412201,0.16852099,6.88613176
 246,   11,        e-,23, 183, 183, 248, 249, 556,  11,58.98276138,-1.22273850,-1.63523853,-3.79834876,-58.86033203,-91.48384043,0.00051100,0.10412201,0.16852099,6.88613176
 247,   23,        Z0,22, 183, 183, 250, 250, 556,  23,88.79592133,-0.17574513,2.39087868,-64.92775602,60.57311402,-15.68590742,91.18759918,0.10412201,0.16852099,6.88613176
 251,    4,         c,23, 245, 245, 255, 255,  23,   4,34.23692703,-0.49566206,0.75342554,24.97068906,23.42289181,-17.67339696,1.50000000,0.10412201,0.16852099,6.88613176
 252,   -4,      cbar,23, 245, 245, 253, 254,  23,  -4,17.86483192,-2.96238875,-2.94148207,-17.50833209,-3.55113041,-172.32800683,1.50000000,0.10412201,0.16852099,6.88613176
 283,    1,         d,23, 250, 250, 287, 287,  23,   1,76.85784149,-0.46165264,1.95669627,-28.92875755,71.20572158,-36.75544974,0.33000001,0.10412201,0.16852099,6.88613176
 284,   -1,      dbar,23, 250, 250, 285, 286,  23,  -1,37.53638458,0.53536665,-2.85439944,-35.99899590,-10.63261312,21.06954445,0.33000001,0.10412201,0.16852099,6.88613176
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,  10,  10,   4,   5,  21,-556,0.00000000,22770.54492188,0.00000000,0.00000000,0.00000000,14.54492188,0.00000000,0.10411805,0.16922531,0.77314341
   3,    2,         u,21,  11,  11,   4,   5,   2,-556,0.00000000,-26336.33398438,0.00000000,0.00000000,0.00000000,-3580.33398438,0.00000000,0.10411805,0.16922531,0.77314341
   4, -556,     P-556,22,   2,   3,  12,  12,  -2,-556,107.56940460,-3.39733744,-0.54080778,92.21850736,-55.37981316,-1605.52513705,199.99987793,0.10411805,0.16922531,0.77314341
   5,  556,      P556,22,   2,   3,  13,  13,  -2, 556,107.56940460,-3.59659696,2.60078478,-92.21850230,55.37982159,-1960.26328447,200.00001526,0.10411805,0.16922531,0.77314341
 626,  -11,        e+,23, 481, 481, 628, 629,-556, -11,120.76121521,-2.45999455,-0.13490298,119.66402518,-16.24168025,-701.58114180,0.00051094,0.10411805,0.16922531,0.77314341
 627,   23,        Z0,22, 481, 481, 630, 630,-556,  23,47.56808472,-3.67332554,-2.09389949,-23.76362254,-41.20695242,-936.07485764,91.18759918,0.10411805,0.16922531,0.77314341
 631,   11,        e-,23, 482, 482, 633, 634, 556,  11,125.77973938,-2.71176839,2.82598400,-119.56718024,39.04141709,-942.68502151,0.00051088,0.10411805,0.16922531,0.77314341
 632,   23,        Z0,22, 482, 482, 635, 635, 556,  23,34.10138321,-4.05631065,0.46395087,30.49657804,15.25985139,-984.56669697,91.18759918,0.10411805,0.16922531,0.77314341
 636,   14,     nu_mu, 1, 630, 630,  -1,  -1,  23,   0,68.74416351,-2.73699474,-2.49365687,-54.81187598,-41.48997793,-528.49646416,-0.00000763,0.10411805,0.16922531,0.77314341
 637,  -14,  nu_mubar, 1, 630, 630,  -1,  -1,  23,   0,31.04972839,-3.26923513,0.00911764,31.04843780,0.28309643,-407.57716111,0.00000000,0.10411805,0.16922531,0.77314341
 638,    5,         b,23, 635, 635, 642, 642,  23,   5,5.92906427,-0.80673140,-2.38646221,-4.31743875,-4.06368377,-5.31913541,4.80000019,0.10411805,0.16922531,0.77314341
 639,   -5,      bbar,23, 635, 635, 640, 641,  23,  -5,39.81689453,-3.89605093,0.50671834,34.81357676,19.32355980,-979.24511905,4.80000019,0.10411805,0.16922531,0.77314341
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,24266.14453125,0.00000000,0.00000000,0.00000000,1510.14453125,0.00000000,0.10565218,0.16870642,5.59925175
