idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
 431,   13,       mu-,23, 428, 428, 435, 435,  23,  13,294.51849365,2.37857413,-1.16725302,115.65137334,-270.86140911,1575.20637094,0.10566000,0.09154435,0.16647615,4.23952961
 432,  -13,       mu+,23, 428, 428, 433, 434,  23, -13,31.79774094,2.96578145,-1.91463172,-10.71903339,-29.93657715,307.77581912,0.10566000,0.09154435,0.16647615,4.23952961
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,   6,   6,   4,   5,  -2,-556,0.00000000,22937.20898438,0.00000000,0.00000000,0.00000000,181.20898438,0.00000000,0.09345094,0.16978011,-3.33268166
   3,    2,         u,21,   7,   7,   4,   5,   2,-556,0.00000000,-24716.30859375,0.00000000,0.00000000,0.00000000,-1960.30859375,0.00000000,0.09345094,0.16978011,-3.33268166
   4, -556,     P-556,22,   2,   3,   8,   8,  -2,-556,290.29534912,-0.09002686,-3.02810860,-288.42805107,-32.87322736,-26.16969422,200.00003052,0.09345094,0.16978011,-3.33268166
   5,  556,      P556,22,   2,   3,   9,   9,  -2, 556,290.29534912,-2.49807930,0.11348414,288.42804820,32.87325258,-1752.93027716,200.00006104,0.09345094,0.16978011,-3.33268166
1018,  -11,        e+,23, 788, 788,1020,1021,-556, -11,41.64243698,-0.23780593,-1.87760019,-12.57656973,-39.69788976,-9.99641965,0.00051100,0.09233230,0.17007180,-3.33283067
1019,   23,        Z0,22, 788, 788,1022,1022,-556,  23,340.86407471,-0.09941285,2.76421142,-316.87842514,125.60406485,-33.94211292,91.18759918,0.09233230,0.17007180,-3.33283067
1023,   11,        e-,23, 789, 789,1025,1026, 556,  11,30.78601265,-1.59462893,2.06884885,-14.70695719,27.04596060,-72.70912430,0.00051100,0.09743742,0.17045206,-3.35537624
1024,   23,        Z0,22, 789, 789,1027,1027, 556,  23,297.17129517,-2.34201145,0.06886072,296.46701035,20.44726008,-1531.32440602,91.18759918,0.09743742,0.17045206,-3.35537624
1031,   11,        e-, 1,1022,1022,  -1,  -1,  23,   0,60.80918503,-0.05885064,2.18209219,-34.90016268,49.79694397,-3.58072567,0.00051100,0.09233230,0.17007180,-3.33283067
1032,  -11,        e+, 1,1022,1022,  -1,  -1,  23,   0,291.99050903,-0.10379427,2.87896204,-281.97825829,75.80711850,-30.36138822,0.00051102,0.09233230,0.17007180,-3.33283067
1033,   13,       mu-, 1,1027,1027,  -1,  -1,  23,   0,96.34409332,-2.60196829,0.38788253,89.18688554,36.44013949,-646.28278346,0.10566000,0.09743742,0.17045206,-3.35537624
1034,  -13,       mu+, 1,1027,1027,  -1,  -1,  23,   0,207.89619446,-2.15526056,-0.07700331,207.28013774,-15.99287869,-885.04170691,0.10566000,0.09743742,0.17045206,-3.35537624
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,22848.37695312,0.00000000,0.00000000,0.00000000,92.37695312,0.00000000,0.09298212,0.16950308,-0.11236687
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-24127.58984375,0.00000000,0.00000000,0.00000000,-1371.58984375,0.00000000,0.09298212,0.16950308,-0.11236687
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,128.15837097,-2.92008996,2.58861017,-109.05788161,67.31230578,-1184.76176977,200.00009155,0.09298212,0.16950308,-0.11236687
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,128.15837097,-0.68270046,-0.55298245,109.05788375,-67.31230231,-94.45044862,199.99980164,0.09298212,0.16950308,-0.11236687
 409,  -11,        e+,23, 305, 305, 411, 412,-556, -11,63.04637527,-2.26177311,0.40589774,57.92375022,24.89346492,-299.34199837,0.00051101,0.09217615,0.17080739,-0.12772022
 410,   23,        Z0,22, 305, 305, 413, 413,-556,  23,143.11807251,-2.53566718,2.57514334,-120.76470790,76.80278644,-897.75406824,91.18759918,0.09217615,0.17080739,-0.12772022
 414,   11,        e-, 1, 306, 306,  -1,  -1, 556,   0,74.24930573,-0.96147543,-1.60491920,-2.53310764,-74.20608308,-82.90767793,0.00051101,0.09423117,0.16872858,-0.11344734
 415,   23,        Z0,22, 306, 306, 418, 419, 556,  11,115.47795868,-0.12717882,0.03654471,115.40085594,4.21916928,-14.72597293,91.18759918,0.09423117,0.16872858,-0.11344734
 416,   13,       mu-, 1, 413, 413,  -1,  -1,  23,   0,7.13137054,-3.98041630,-0.75829846,5.17742629,-4.90415159,-190.83775793,0.10566000,0.09217615,0.17080739,-0.12772022
 417,  -13,       mu+, 1, 413, 413,  -1,  -1,  23,   0,150.12475586,-2.25368142,2.56608558,-125.94212404,81.70693798,-706.91620581,0.10566000,0.09217615,0.17080739,-0.12772022
 418,   11,        e-,23, 415, 415, 420, 421,  23,  11,41.23065186,-0.25206465,-1.10548770,18.50013715,-36.84713799,-10.50319351,0.00051100,0.09423117,0.16872858,-0.11344734
 419,  -11,        e+,23, 415, 415, 422, 422,  23, -11,105.24348450,-0.04011315,0.40085191,96.90071900,41.06630840,-4.22277964,0.00051100,0.09423117,0.16872858,-0.11344734
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,   6,   6,   4,   5,  21,-556,0.00000000,22835.63476562,0.00000000,0.00000000,0.00000000,79.63476562,0.00000000,0.09158984,0.16982554,-1.07012951
   3,    2,         u,21,   7,   7,   4,   5,   2,-556,0.00000000,-23740.56054688,0.00000000,0.00000000,0.00000000,-984.56054688,0.00000000,0.09158984,0.16982554,-1.07012951
   4, -556,     P-556,22,   2,   3,   8,   8,  -2,-556,90.59004974,-2.85286736,-0.35294124,85.00608856,-31.31328824,-782.68646405,200.00001526,0.09158984,0.16982554,-1.07012951
   5,  556,      P556,22,   2,   3,   9,   9,  -2, 556,90.59004974,-1.10819125,2.78865147,-85.00609036,31.31328334,-122.23856121,200.00195312,0.09158984,0.16982554,-1.07012951
 452,  -11,        e+, 1, 355, 355,  -1,  -1,-556,   0,95.01158905,-2.51107240,-0.38428023,88.08225201,-35.61908104,-581.32611675,0.00051106,0.09213983,0.16979711,-1.07444775
 453,   23,        Z0,22, 355, 355, 456, 457,-556,  13,31.93651962,-2.44221544,1.27964425,9.16756973,30.59243290,-182.22209733,91.18759918,0.09213983,0.16979711,-1.07444775
 454,   11,        e-, 1, 356, 356,  -1,  -1, 556,   0,37.40945435,-1.53822660,-1.12755525,16.04377740,-33.79444453,-83.07823941,0.00051100,0.09145451,0.17022474,-1.07070529
 455,   23,        Z0,22, 356, 356, 458, 459, 556,  11,100.27314758,-0.03004983,1.94097722,-36.27722782,93.48083690,-3.01364498,91.18759918,0.09145451,0.17022474,-1.07070529
 456,   13,       mu-, 1, 453, 453,  -1,  -1,  23,   0,52.41567612,-1.74781263,2.02359247,-22.93089445,47.13360990,-145.92195356,0.10566000,0.09213983,0.16979711,-1.07444775
 457,  -13,       mu+, 1, 453, 453,  -1,  -1,  23,   0,36.10985947,-0.88509506,-0.47583321,32.09846412,-16.54117747,-36.30015461,0.10566000,0.09213983,0.16979711,-1.07444775
 458,   11,        e-, 1, 455, 455,  -1,  -1,  23,   0,19.11434746,1.22341073,3.12854552,-19.11272059,0.24938032,29.67058314,0.00051100,0.09145451,0.17022474,-1.07070529
 459,  -11,        e+, 1, 455, 455,  -1,  -1,  23,   0,94.79833221,-0.33828720,1.75286388,-17.16450289,93.23145194,-32.68422666,0.00051100,0.09145451,0.17022474,-1.07070529
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,   6,   6,   4,   5,  -2,-556,0.00000000,22770.54492188,0.00000000,0.00000000,0.00000000,14.54492188,0.00000000,0.09143251,0.16945201,0.77967888
   3,    2,         u,21,   7,   7,   4,   5,   2,-556,0.00000000,-26336.33398438,0.00000000,0.00000000,0.00000000,-3580.33398438,0.00000000,0.09143251,0.16945201,0.77967888
   4, -556,     P-556,22,   2,   3,   8,   8,  -2,-556,107.56940460,-3.39733744,-0.54080778,92.21850736,-55.37981316,-1605.52513705,199.99987793,0.09143251,0.16945201,0.77967888
   5,  556,      P556,22,   2,   3,   9,   9,  -2, 556,107.56940460,-3.59659696,2.60078478,-92.21850230,55.37982159,-1960.26328447,200.00001526,0.09143251,0.16945201,0.77967888
 274,  -11,        e+,23, 201, 201, 276, 277,-556, -11,120.37394714,-2.48566222,-0.13789773,119.23125715,-16.54673595,-717.77780334,0.00051094,0.09363565,0.16810179,0.74078453
 275,   23,        Z0,22, 201, 201, 278, 278,-556,  23,48.20471191,-3.68265867,-2.09999871,-24.33590746,-41.61079017,-957.50911514,91.18759918,0.09363565,0.16810179,0.74078453
