idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
 293,   23,        Z0,22, 219, 219, 296, 296, 556,  23,294.20245361,2.43917060,-3.06996632,-293.44809804,-21.05463054,1673.46706332,91.18759918,0.09102426,0.16753760,4.23332262
 297,   13,       mu-,23, 291, 291, 301, 301,  23,  13,189.57063293,0.18854979,-0.27586976,182.40271210,-51.63599025,35.95566555,0.10566000,0.09102426,0.16753760,4.23332262
 298,  -13,       mu+,23, 291, 291, 299, 300,  23, -13,103.65854645,-0.17195249,0.27108267,99.87309696,27.75713882,-17.91231206,0.10566000,0.09102426,0.16753760,4.23332262
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,  10,  10,   4,   5,   1,-556,0.00000000,24127.58984375,0.00000000,0.00000000,0.00000000,1371.58984375,0.00000000,0.09345094,0.16978011,-3.33268166
   3,   -1,      dbar,21,  11,  11,   4,   5,  -1,-556,0.00000000,-22848.37695312,0.00000000,0.00000000,0.00000000,-92.37695312,0.00000000,0.09345094,0.16978011,-3.33268166
   4, -556,     P-556,22,   2,   3,  12,  12,   1,-556,128.15837097,-2.92008996,2.58861017,-109.05788161,67.31230578,-1184.76176977,200.00009155,0.09345094,0.16978011,-3.33268166
   5,  556,      P556,22,   2,   3,  13,  13,   1, 556,128.15837097,-0.68270046,-0.55298245,109.05788375,-67.31230231,-94.45044862,199.99980164,0.09345094,0.16978011,-3.33268166
 780,  -11,        e+,23, 595, 595, 782, 783,-556, -11,66.33824921,2.20596337,-2.87459922,-63.98778450,-17.50219249,297.48888500,0.00051103,0.09345094,0.16978011,-3.33268166
 781,   23,        Z0,22, 595, 595, 784, 784,-556,  23,116.31709290,2.73471022,-0.48842880,102.71627666,-54.58051491,892.17337567,91.18759918,0.09345094,0.16978011,-3.33268166
 785,   11,        e-,23, 596, 596, 787, 788, 556,  11,72.96131897,0.95108265,1.57226980,-0.10750631,72.96123977,80.33727199,0.00051100,0.09345094,0.16978011,-3.33268166
 786,   23,        Z0,22, 596, 596, 789, 789, 556,  23,119.18386078,0.09442111,-3.09224772,-119.03878852,-5.87873277,11.27020144,91.18759918,0.09345094,0.16978011,-3.33268166
 790,   13,       mu-,23, 784, 784, 792, 793,  23,  13,55.74494934,2.08028889,0.24661303,54.05837550,13.60850525,219.68770995,0.10566000,0.09345094,0.16978011,-3.33268166
 791,  -13,       mu+,23, 784, 784, 794, 794,  23, -13,83.76952362,2.77991557,-0.95101839,48.65789733,-68.18901756,672.48566656,0.10566000,0.09345094,0.16978011,-3.33268166
 795,   11,        e-, 1, 789, 789,  -1,  -1,  23,   0,71.17053986,0.46221307,-2.56567764,-59.69032870,-38.75964916,34.07984990,0.00051100,0.09345094,0.16978011,-3.33268166
 796,  -11,        e+, 1, 789, 789,  -1,  -1,  23,   0,67.84830475,-0.33015528,2.63565969,-59.34845375,32.88089862,-22.80965133,0.00051100,0.09345094,0.16978011,-3.33268166
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,  19,  19,   4,   5,  -2,-556,0.00000000,23740.56054688,0.00000000,0.00000000,0.00000000,984.56054688,0.00000000,0.09298212,0.16950308,-0.11236687
   3,    2,         u,21,  20,  20,   4,   5,   2,-556,0.00000000,-22835.63476562,0.00000000,0.00000000,0.00000000,-79.63476562,0.00000000,0.09298212,0.16950308,-0.11236687
   4, -556,     P-556,22,   2,   3,  21,  21,  -2,-556,90.59004974,-2.85286736,-0.35294124,85.00608856,-31.31328824,-782.68646405,200.00001526,0.09298212,0.16950308,-0.11236687
   5,  556,      P556,22,   2,   3,  22,  22,  -2, 556,90.59004974,-1.10819125,2.78865147,-85.00609036,31.31328334,-122.23856121,200.00195312,0.09298212,0.16950308,-0.11236687
 157,  -11,        e+,23, 113, 113, 159, 160,-556, -11,98.87957001,2.49618387,2.37355852,-71.12187872,68.69386969,595.93202781,0.00051111,0.09298212,0.16950308,-0.11236687
 158,   23,        Z0,22, 113, 113, 161, 161,-556,  23,19.35835457,2.96548057,-1.74033368,-3.26626450,-19.08081256,187.31618373,91.18759918,0.09298212,0.16950308,-0.11236687
 162,   11,        e-,23, 114, 114, 164, 165, 556,  11,49.14391708,1.44279587,1.31976497,12.20750234,47.60358676,98.19560560,0.00051101,0.09298212,0.16950308,-0.11236687
 163,   23,        Z0,22, 114, 114, 166, 166, 556,  23,106.00198364,0.22479716,-0.77879280,75.44818597,-74.45798661,24.03014689,91.18759918,0.09298212,0.16950308,-0.11236687
 167,   11,        e-, 1, 161, 161,  -1,  -1,  23,   0,44.44165421,1.22403526,3.07619739,-44.34665979,2.90420285,69.03660571,0.00051100,0.09298212,0.16950308,-0.11236687
 168,  -11,        e+, 1, 161, 161,  -1,  -1,  23,   0,46.59334564,1.66145408,-0.49138659,41.08039510,-21.98501756,118.27956485,0.00051100,0.09298212,0.16950308,-0.11236687
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,  10,  10,   4,   5,   1,-556,0.00000000,22821.33789062,0.00000000,0.00000000,0.00000000,65.33789062,0.00000000,0.09158984,0.16982554,-1.07012951
   3,   -1,      dbar,21,  11,  11,   4,   5,  21,-556,0.00000000,-24266.14453125,0.00000000,0.00000000,0.00000000,-1510.14453125,0.00000000,0.09158984,0.16982554,-1.07012951
   4, -556,     P-556,22,   2,   3,  12,  12,   1,-556,54.89319992,3.86904883,-1.43774116,7.28229216,-54.40801061,1314.03145363,199.99996948,0.09158984,0.16982554,-1.07012951
   5,  556,      P556,22,   2,   3,  13,  13,   1, 556,54.89319992,1.60262668,1.70385158,-7.28229692,54.40800997,130.77461358,200.00006104,0.09158984,0.16982554,-1.07012951
 210,  -11,        e+, 1, 161, 161,  -1,  -1,-556,   0,71.47933960,-3.31071949,0.47706607,63.49838049,32.82151223,-978.13564818,0.00051100,0.09158984,0.16982554,-1.07012951
 211,   23,        Z0,22, 161, 161, 217, 218,-556,  15,58.47683716,-2.45035052,1.62430143,-3.12731677,58.39315348,-336.42151501,91.18759918,0.09158984,0.16982554,-1.07012951
 212,   11,        e-,23, 162, 162, 214, 215, 556,  11,21.63194275,-2.46613765,2.28043079,-14.09443336,16.40999376,-126.45990767,0.00051100,0.09158984,0.16982554,-1.07012951
 213,   23,        Z0,22, 162, 162, 216, 216, 556,  23,72.64685059,-0.07012474,-1.13002372,30.99393298,-65.70343232,-5.09851760,91.18759918,0.09158984,0.16982554,-1.07012951
 217,   15,      tau-,23, 211, 211, 221, 221,  23,  15,56.35673904,-1.22029829,1.85388637,-15.74179109,54.11356622,-87.15727869,1.77681994,0.09158984,0.16982554,-1.07012951
 218,  -15,      tau+,23, 211, 211, 219, 220,  23, -15,13.32065678,-3.62305784,0.32707500,12.61447707,4.27958703,-249.26421556,1.77681994,0.09158984,0.16982554,-1.07012951
 222,   15,      tau-,23, 216, 216, 226, 226,  23,  15,41.38877487,-0.98575741,-0.98454028,22.89817931,-34.47758793,-47.73542001,1.77681994,0.09158984,0.16982554,-1.07012951
 223,  -15,      tau+,23, 216, 216, 224, 225,  23, -15,32.25824738,1.09163475,-1.31711733,8.09575232,-31.22584375,42.63690188,1.77681994,0.09158984,0.16982554,-1.07012951
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,22909.94140625,0.00000000,0.00000000,0.00000000,153.94140625,0.00000000,0.09143251,0.16945201,0.77967888
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-23356.46289062,0.00000000,0.00000000,0.00000000,-600.46289062,0.00000000,0.09143251,0.16945201,0.77967888
