-3122 (0.0907672,0.1692,3.66484,1.22545e-10)
211 (-0.265641,-10.4151,-4.14793,5.63219e-10)
-2212 (-0.265641,-10.4151,-4.14793,5.63219e-10)
-211 (-7.31286,-84.871,-61.7615,3.71121e-09)
211 (-7.31286,-84.871,-61.7615,3.71121e-09)
211 (-7.31286,-84.871,-61.7615,3.71121e-09)
2212 (-7.31286,-84.871,-61.7615,3.71121e-09)
-211 (-7.31286,-84.871,-61.7615,3.71121e-09)
211 (-7.31286,-84.871,-61.7615,3.71121e-09)
2212 (-4.92834,-114.104,-88.8846,5.04583e-09)
310 (0.0907672,0.1692,3.66484,1.22545e-10)
-211 (0.0616996,-0.0364247,11.7681,3.94507e-10)
111 (48.6061,-80.9628,-118.415,5.74065e-09)
22 (48.606,-80.9628,-118.415,5.74065e-09)
11 (5.82208,-82.4909,-141.989,7.37085e-09)
-211 (38.738,-97.1347,-120.802,5.80576e-09)
-211 (-6.45907,-7.02899,28.5133,1.01466e-09)
211 (-6.45907,-7.02899,28.5133,1.01466e-09)
2212 (-8.67698,-19.8765,46.6487,1.82684e-09)
-2112 (0.0907672,0.1692,3.66484,1.22545e-10)
331 (-29.908,6.0155,-203.103,8.00807e-09)
113 (-29.908,6.0155,-203.103,8.00807e-09)
-211 (-29.908,6.0155,-203.103,8.00807e-09)
-211 (-44.8624,-6.75189,-202.694,7.44657e-09)
211 (-44.8624,-6.75189,-202.694,7.44657e-09)
2112 (-44.8624,-6.75189,-202.694,7.44657e-09)
2212 (-55.1777,-11.5186,-249.295,9.35699e-09)
211 (25.8627,8.3464,-131.432,4.72015e-09)
-211 (25.8627,8.3464,-131.432,4.72015e-09)
211 (41.3736,18.5694,-281.236,9.79278e-09)
111 (25.8627,8.3464,-131.432,4.72015e-09)
22 (25.8627,8.34641,-131.432,4.72015e-09)
11 (107.183,40.286,-288.316,1.071e-08)
-11 (107.183,40.286,-288.316,1.071e-08)
211 (-2.53713,0.0652535,163.097,5.44168e-09)
3222 (-2.53713,0.0652535,163.097,5.44168e-09)
-321 (-2.53713,0.0652535,163.097,5.44168e-09)
321 (-2.53713,0.0652535,163.097,5.44168e-09)
211 (-31.8226,-11.2639,257.048,9.11074e-09)
-211 (-31.8226,-11.2639,257.048,9.11074e-09)
310 (-2.53713,0.0652535,163.097,5.44168e-09)
-211 (-2.77702,1.10375,200.49,6.69235e-09)
2212 (-2.23304,0.633181,169.615,5.66299e-09)
22 (0.270577,2.19751,2.63927,1.98608e-10)
-11 (7.58656,84.8685,-39.1804,3.29858e-09)
22 (0.0906922,0.170219,3.66481,1.22587e-10)
11 (-120.935,-48.7338,107.595,5.68824e-09)
22 (0.0907721,0.169176,3.66503,1.22551e-10)
11 (7.72068,-34.8461,209.68,7.09767e-09)
-11 (7.72068,-34.8461,209.68,7.09767e-09)
22 (0.0907721,0.169176,3.66503,1.22551e-10)
11 (10.5971,-48.0555,287.458,9.73097e-09)
-11 (10.5971,-48.0555,287.458,9.73097e-09)
22 (0.0907721,0.169176,3.66503,1.22551e-10)
11 (5.7685,-25.9358,157.297,5.32405e-09)
22 (0.0906922,0.170219,3.66481,1.22587e-10)
11 (0.59531,9.98692,3.08076,4.51048e-10)
22 (0.0906922,0.170219,3.66481,1.22587e-10)
11 (3.24699,62.9481,-0.0862069,2.22301e-09)
-11 (3.24699,62.9481,-0.0862069,2.22301e-09)
22 (-54.5652,-51.0433,29.1005,2.76128e-09)
-11 (-77.9825,-72.0176,39.7792,3.86875e-09)
-11 (0.0892483,0.169295,1.61219,1.10529e-10)
11 (0.0936671,0.168528,1.60599,1.10452e-10)
11 (0.0892483,0.169295,1.61219,1.10529e-10)
-11 (0.0892483,0.169295,1.61219,1.10529e-10)
13 (0.0936671,0.168528,1.60599,1.10452e-10)
-13 (0.0936671,0.168528,1.60599,1.10452e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
2212 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-321 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
321 (0.0905488,0.169146,1.60591,1.10311e-10)
-321 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
321 (0.0905488,0.169146,1.60591,1.10311e-10)
-321 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-321 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
321 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-321 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
2212 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
3112 (0.0905488,0.169146,1.60591,1.10311e-10)
-3112 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-2212 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-321 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-321 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-321 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0910115,0.174861,1.60919,1.10542e-10)
-321 (0.0843869,0.166547,1.53958,1.12563e-10)
211 (0.0843869,0.166547,1.53958,1.12563e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
321 (0.0905488,0.169146,1.60591,1.10311e-10)
-321 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
211 (0.0905488,0.169146,1.60591,1.10311e-10)
-211 (0.0905488,0.169146,1.60591,1.10311e-10)
