idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
 251,  -11,        e+, 1, 244, 244,  -1,  -1,  23,   0,159.81176758,-0.06424613,2.67437243,-142.68374428,71.98020683,-10.27435149,0.00051100,0.10275020,0.16820332,2.87044597
 252,   11,        e-,23, 249, 249, 256, 256,  23,  11,288.23587036,-2.27054143,0.05162766,287.85182150,14.87433433,-1380.84966556,0.00051180,0.10808849,0.16829911,2.84602761
 253,  -11,        e+,23, 249, 249, 254, 255,  23, -11,50.41037750,-2.37029696,-0.71703213,37.99729490,-33.12720544,-267.35437173,0.00051098,0.10808849,0.16829911,2.84602761
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    2,         u,21,   6,   6,   4,   5,   2,-556,0.00000000,25741.73046875,0.00000000,0.00000000,0.00000000,2985.73046875,0.00000000,0.10284961,0.16560666,-6.31227112
   3,   -2,      ubar,21,   7,   7,   4,   5,  21,-556,0.00000000,-22834.51757812,0.00000000,0.00000000,0.00000000,-78.51757812,0.00000000,0.10284961,0.16560666,-6.31227112
   4, -556,     P-556,22,   2,   3,   8,   8,   2,-556,385.80233765,1.45099747,2.06754708,-183.86241151,339.17260704,777.97669197,200.00112915,0.10284961,0.16560666,-6.31227112
   5,  556,      P556,22,   2,   3,   9,   9,   2, 556,385.80233765,2.40944934,-1.07404554,183.86242229,-339.17260120,2129.23674107,199.99986267,0.10284961,0.16560666,-6.31227112
 455,  -11,        e+, 1, 330, 330,  -1,  -1,-556,   0,329.97726440,1.53867853,1.91852140,-112.44302683,310.22823975,733.17081210,0.00051100,0.10132159,0.16884191,-6.30454206
 456,   23,        Z0,22, 330, 330, 462, 463,-556,  11,117.25421906,1.39077973,2.27796721,-76.17838639,89.13700317,220.97147484,91.18759918,0.10132159,0.16884191,-6.30454206
 457,   11,        e-,23, 331, 331, 459, 460, 556,  11,92.89202881,1.55154932,-0.66654980,73.00937448,-57.43309372,209.32549890,0.00051102,0.10337086,0.16466378,-6.30681705
 458,   23,        Z0,22, 331, 331, 461, 461, 556,  23,285.22070312,2.45951533,-1.19272971,105.28189560,-265.07842604,1656.22865066,91.18759918,0.10337086,0.16466378,-6.30681705
 462,   11,        e-,23, 456, 456, 466, 466,  23,  11,52.28565216,0.46856925,2.65227318,-46.15008391,24.57558092,25.40584689,0.00051100,0.10132159,0.16884191,-6.30454206
 463,  -11,        e+,23, 456, 456, 464, 465,  23, -11,71.20306396,1.73511159,2.00614595,-30.02828604,64.56143087,195.56562141,0.00051101,0.10132159,0.16884191,-6.30454206
 470,   11,        e-, 1, 461, 461,  -1,  -1,  23,   0,207.89434814,2.21589470,-1.17977846,79.23470125,-192.20281504,941.81894075,0.00051088,0.10337086,0.16466378,-6.30681705
 471,  -11,        e+, 1, 461, 461,  -1,  -1,  23,   0,77.39064026,2.91865921,-1.22752678,26.04718832,-72.87561444,714.40995264,0.00051066,0.10337086,0.16466378,-6.30681705
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,  33,  33,   4,   5,  21,-556,0.00000000,22848.37695312,0.00000000,0.00000000,0.00000000,92.37695312,0.00000000,0.10498606,0.16889493,2.31483102
   3,   -1,      dbar,21,  34,  34,   4,   5,  -1,-556,0.00000000,-24127.58984375,0.00000000,0.00000000,0.00000000,-1371.58984375,0.00000000,0.10498606,0.16889493,2.31483102
   4, -556,     P-556,22,   2,   3,  35,  35,   1,-556,128.15837097,-2.92008996,2.58861017,-109.05788161,67.31230578,-1184.76176977,200.00009155,0.10498606,0.16889493,2.31483102
   5,  556,      P556,22,   2,   3,  36,  36,   1, 556,128.15837097,-0.68270046,-0.55298245,109.05788375,-67.31230231,-94.45044862,199.99980164,0.10498606,0.16889493,2.31483102
 484,  -11,        e+, 1, 359, 359,  -1,  -1,-556,   0,48.88488770,-2.49961352,0.33211431,46.21357801,15.93855239,-295.64773218,0.00051103,0.10357855,0.16973917,2.29966760
 485,   23,        Z0,22, 359, 359, 488, 489,-556,  11,163.74098206,-2.39072108,2.83200264,-155.95649993,49.88666490,-886.64126294,91.18759918,0.10357855,0.16973917,2.29966760
 486,   11,        e-, 1, 360, 360,  -1,  -1, 556,   0,73.10916901,-0.97052109,-1.60667157,-2.62224677,-73.06212709,-82.62922121,0.00051100,0.10623290,0.16814992,2.31375766
 487,   23,        Z0,22, 360, 360, 493, 494, 556,  15,115.43363953,-0.12409382,0.04976021,115.29075761,5.74163258,-14.36139385,91.18759918,0.10623290,0.16814992,2.31375766
 488,   11,        e-,23, 485, 485, 492, 492,  23,  11,9.56554794,-1.32423663,-0.54149270,8.19710328,-4.93023379,-16.70770532,0.00051100,0.10357855,0.16973917,2.29966760
 489,  -11,        e+,23, 485, 485, 490, 491,  23, -11,173.06443787,-2.31765079,2.81929922,-164.15360698,54.81690404,-869.93374185,0.00051111,0.10357855,0.16973917,2.29966760
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,   6,   6,   4,   5,  -2,-556,0.00000000,22835.63476562,0.00000000,0.00000000,0.00000000,79.63476562,0.00000000,0.10426910,0.16830529,-3.61981463
   3,    2,         u,21,   7,   7,   4,   5,   2,-556,0.00000000,-23740.56054688,0.00000000,0.00000000,0.00000000,-984.56054688,0.00000000,0.10426910,0.16830529,-3.61981463
   4, -556,     P-556,22,   2,   3,   8,   8,  -2,-556,90.59004974,-2.85286736,-0.35294124,85.00608856,-31.31328824,-782.68646405,200.00001526,0.10426910,0.16830529,-3.61981463
   5,  556,      P556,22,   2,   3,   9,   9,  -2, 556,90.59004974,-1.10819125,2.78865147,-85.00609036,31.31328334,-122.23856121,200.00195312,0.10426910,0.16830529,-3.61981463
 241,  -11,        e+, 1, 191, 191,  -1,  -1,-556,   0,100.97863007,-2.40602732,-0.51576447,87.84291964,-49.80266257,-555.36451028,0.00051106,0.10481727,0.16816866,-3.62393475
 242,   23,        Z0,22, 191, 191, 248, 249,-556,  13,27.20568657,-2.55010486,1.23038042,9.08341192,25.64451227,-173.16927271,91.18759918,0.10481727,0.16816866,-3.62393475
 243,   11,        e-,23, 192, 192, 245, 246, 556,  11,33.17885590,-1.66125977,-1.30946565,8.57229756,-32.05233522,-84.20861550,0.00051100,0.10401810,0.16873497,-3.62040567
 244,   23,        Z0,22, 192, 192, 247, 247, 556,  23,106.76019287,-0.03916783,2.01728797,-46.09945415,96.29423196,-4.18263421,91.18759918,0.10401810,0.16873497,-3.62040567
 248,   13,       mu-, 1, 242, 242,  -1,  -1,  23,   0,28.07758141,-2.53771877,0.54531038,24.00538712,14.56337759,-176.49191729,0.10566000,0.10481727,0.16816866,-3.62393475
 249,  -13,       mu+, 1, 242, 242,  -1,  -1,  23,   0,18.58646965,0.17782922,2.50284123,-14.92197578,11.08113230,3.32266526,0.10566000,0.10481727,0.16816866,-3.62393475
 250,   11,        e-,23, 247, 247, 252, 253,  23,  11,120.35337830,-0.09846960,1.91381228,-40.47831630,113.34214387,-11.87031029,0.00051100,0.10401810,0.16873497,-3.62040567
 251,  -11,        e+,23, 247, 247, 254, 254,  23, -11,17.95072746,0.41614950,-1.88929689,-5.62114265,-17.04791400,7.68767591,0.00051100,0.10401810,0.16873497,-3.62040567
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,24266.14453125,0.00000000,0.00000000,0.00000000,1510.14453125,0.00000000,0.10505034,0.17014706,4.31800890
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22821.33789062,0.00000000,0.00000000,0.00000000,-65.33789062,0.00000000,0.10505034,0.17014706,4.31800890
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,54.89319992,3.86904883,-1.43774116,7.28229216,-54.40801061,1314.03145363,199.99996948,0.10505034,0.17014706,4.31800890
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,54.89319992,1.60262668,1.70385158,-7.28229692,54.40800997,130.77461358,200.00006104,0.10505034,0.17014706,4.31800890
 188,  -11,        e+,23, 149, 149, 190, 191,-556, -11,23.13094711,4.43523598,-2.32610369,-15.85655288,-16.84073767,975.66543268,0.00051123,0.10505597,0.17005894,4.31967211
 189,   23,        Z0,22, 149, 149, 192, 192,-556,  23,56.41445541,2.48312855,-1.20277047,20.29646440,-52.63691017,335.53061764,91.18759918,0.10505597,0.17005894,4.31967211
 196,   11,        e-, 1, 150, 150,  -1,  -1, 556,   0,23.10177040,2.39645004,-0.72695601,17.26166344,-15.35339607,125.82464010,0.00051100,0.10494728,0.17063455,4.31924725
 197,   23,        Z0,22, 150, 150, 203, 204, 556,  13,72.34914398,0.06243116,1.96983540,-28.11003654,66.66501692,4.51977549,91.18759918,0.10494728,0.17063455,4.31924725
 198,   13,       mu-,23, 192, 192, 202, 202,  23,  13,37.98789978,1.30091906,0.10094476,37.79451866,3.82817046,64.58681961,0.10566000,0.10505597,0.17005894,4.31967211
 199,  -13,       mu+,23, 192, 192, 200, 201,  23, -13,59.11418533,2.22728109,-1.87130308,-17.49805246,-56.46507830,270.94377291,0.10566000,0.10505597,0.17005894,4.31967211
 203,   13,       mu-, 1, 197, 197,  -1,  -1,  23,   0,75.07339478,0.12862700,1.41490376,11.65603821,74.16300544,9.68311531,0.10566000,0.10494728,0.17063455,4.31924725
 204,  -13,       mu+, 1, 197, 197,  -1,  -1,  23,   0,40.46678543,-0.12725081,-2.95522833,-39.76607767,-7.49798571,-5.16333955,0.10566000,0.10494728,0.17063455,4.31924725
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,   -2,      ubar,21,   6,   6,   4,   5,  -2,-556,0.00000000,22770.54492188,0.00000000,0.00000000,0.00000000,14.54492188,0.00000000,0.10337255,0.16812907,-0.11922254
   3,    2,         u,21,   7,   7,   4,   5,   2,-556,0.00000000,-26336.33398438,0.00000000,0.00000000,0.00000000,-3580.33398438,0.00000000,0.10337255,0.16812907,-0.11922254
   4, -556,     P-556,22,   2,   3,   8,   8,  -2,-556,107.56940460,-3.39733744,-0.54080778,92.21850736,-55.37981316,-1605.52513705,199.99987793,0.10337255,0.16812907,-0.11922254
   5,  556,      P556,22,   2,   3,   9,   9,  -2, 556,107.56940460,-3.59659696,2.60078478,-92.21850230,55.37982159,-1960.26328447,200.00001526,0.10337255,0.16812907,-0.11922254
 353,  -11,        e+,23, 259, 259, 355, 356,-556, -11,110.13774109,-2.50955772,-0.33829528,103.89533186,-36.55245586,-672.84164246,0.00051111,0.10474754,0.16569835,-0.15569213
 354,   23,        Z0,22, 259, 259, 357, 357,-556,  23,81.48154449,-3.09499884,-2.15104103,-44.67051357,-68.14533961,-898.00556675,91.18759918,0.10474754,0.16569835,-0.15569213
 358,   11,        e-, 1, 260, 260,  -1,  -1, 556,   0,135.80766296,-2.63101530,2.99568176,-134.36455424,19.74557882,-938.14967890,0.00051066,0.10291161,0.16818687,-0.12663655
 359,   23,        Z0,22, 260, 260, 362, 363, 556,  11,15.85883045,-4.81690550,-0.30696294,15.11751987,-4.79198251,-979.86941252,91.18759918,0.10291161,0.16818687,-0.12663655
 360,   13,       mu-, 1, 357, 357,  -1,  -1,  23,   0,62.03120422,-3.26761794,-1.78634882,-13.26767862,-60.59570118,-812.93883401,0.10566000,0.10474754,0.16569835,-0.15569213
 361,  -13,       mu+, 1, 357, 357,  -1,  -1,  23,   0,32.29759216,-1.69582236,-2.90565777,-31.40282726,-7.54962912,-85.06666744,0.10566000,0.10474754,0.16569835,-0.15569213
 362,   11,        e-,23, 359, 359, 366, 366,  23,  11,31.07832527,-2.31161809,2.40990329,-23.12372700,20.76428547,-155.26169418,0.00051099,0.10291161,0.16818687,-0.12663655
 363,  -11,        e+,23, 359, 359, 364, 365,  23, -11,45.99473572,-3.58030510,-0.58912611,38.24124490,-25.55626934,-824.60788770,0.00051054,0.10291161,0.16818687,-0.12663655
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    1,         d,21,   6,   6,   4,   5,   1,-556,0.00000000,23356.46289062,0.00000000,0.00000000,0.00000000,600.46289062,0.00000000,0.10408843,0.17041714,3.60615349
   3,   -1,      dbar,21,   7,   7,   4,   5,  -1,-556,0.00000000,-22909.94140625,0.00000000,0.00000000,0.00000000,-153.94140625,0.00000000,0.10408843,0.17041714,3.60615349
   4, -556,     P-556,22,   2,   3,   8,   8,   1,-556,51.00819016,-0.91817498,0.11043396,50.69746689,5.62159357,-53.69805750,200.00000000,0.10408843,0.17041714,3.60615349
   5,  556,      P556,22,   2,   3,   9,   9,   1, 556,51.00819016,2.97880030,-3.03115869,-50.69746683,-5.62159405,500.22093354,200.00004578,0.10408843,0.17041714,3.60615349
 978,  -11,        e+,23, 751, 751, 980, 981,-556, -11,47.94187927,-0.95728230,-2.20832181,-28.53542917,-38.52470727,-53.23162867,0.00051100,0.10606278,0.16938551,3.60600638
 979,   23,        Z0,22, 751, 751, 982, 982,-556,  23,102.05074310,0.45237988,0.00109600,102.05068181,0.11184715,47.75651036,91.18759918,0.10606278,0.16938551,3.60600638
 986,   11,        e-,23, 752, 752, 988, 989, 556,  11,76.90270996,1.18862820,-2.23331451,-47.30318407,-60.63361754,114.50568147,0.00051100,0.10426613,0.16976759,3.61084986
 987,   23,        Z0,22, 752, 752, 990, 990, 556,  23,76.74904633,2.62193799,-0.37149078,71.51378067,-27.86028153,525.33598548,91.18759918,0.10426613,0.16976759,3.61084986
 991,   11,        e-,23, 982, 982, 993, 994,  23,  11,46.79034805,0.39439729,-1.07793868,22.13863619,-41.22156546,18.93613829,0.00051100,0.10606278,0.16938551,3.60600638
 992,  -11,        e+,23, 982, 982, 995, 995,  23, -11,89.96846771,0.31509605,0.47734258,79.91169636,41.33335176,28.82014584,0.00051100,0.10606278,0.16938551,3.60600638
 996,   13,       mu-, 1, 990, 990,  -1,  -1,  23,   0,13.25892353,3.61755085,-2.66548443,-11.78433688,-6.07687893,246.74449677,0.10566000,0.10426613,0.16976759,3.61084986
 997,  -13,       mu+, 1, 990, 990,  -1,  -1,  23,   0,85.99050903,1.88978159,-0.25617063,83.18441055,-21.78810420,278.04249973,0.10566000,0.10426613,0.16976759,3.61084986
idx,ID,Name,Stat,Mo1,Mo2,Da1,Da2,MoPdg,DaPdg,pt,eta,phi,px,py,pz,m,vx,vy,vz
   2,    2,         u,21,   6,   6,   4,   5,   2,-556,0.00000000,24245.36523438,0.00000000,0.00000000,0.00000000,1489.36523438,0.00000000,0.10723091,0.17045306,4.45647860
   3,   -2,      ubar,21,   7,   7,   4,   5,  -2,-556,0.00000000,-22810.32421875,0.00000000,0.00000000,0.00000000,-54.32421875,0.00000000,0.10723091,0.17045306,4.45647860
   4, -556,     P-556,22,   2,   3,   8,   8,   2,-556,150.08265686,2.67645216,1.06649423,72.51942030,131.39915361,1085.44524282,199.99925232,0.10723091,0.17045306,4.45647860
   5,  556,      P556,22,   2,   3,   9,   9,   2, 556,150.08265686,1.58191955,-2.07509851,-72.51943178,-131.39914727,349.59533681,200.00044250,0.10723091,0.17045306,4.45647860
 700,  -11,        e+, 1, 539, 539,  -1,  -1,-556,   0,81.99391937,3.08920956,1.27387679,23.98944753,78.40605347,898.41456000,0.00051100,0.10899637,0.17230645,4.48228550
 701,   23,        Z0,22, 539, 539, 704, 705,-556,  11,59.20510101,2.35488629,0.14091878,58.61822272,8.31552474,309.11061324,91.18759918,0.10899637,0.17230645,4.48228550
 702,   11,        e-, 1, 540, 540,  -1,  -1, 556,   0,111.73561859,1.10465562,-1.14601052,46.04911285,-101.80534204,150.10897843,0.00051099,0.10700694,0.16981868,4.45810413
 703,   23,        Z0,22, 540, 540, 715, 716, 556,  15,116.59369659,1.52672517,-2.63518000,-101.96003892,-56.55298886,255.68017590,91.18759918,0.10700694,0.16981868,4.45810413
 704,   11,        e-,23, 701, 701, 708, 708,  23,  11,59.42578125,1.16378975,0.16312440,58.63688571,9.65086064,85.86267308,0.00051100,0.10899637,0.17230645,4.48228550
 705,  -11,        e+,23, 701, 701, 706, 707,  23, -11,1.33546555,5.81215906,-1.58477032,-0.01866118,-1.33533516,223.24791780,0.00051098,0.10899637,0.17230645,4.48228550
 715,   15,      tau-,23, 703, 703, 719, 719,  23,  15,60.66218948,0.77273089,3.13957977,-60.66206659,0.12210566,51.68182068,1.77681994,0.10700694,0.16981868,4.45810413
 716,  -15,      tau+,23, 703, 703, 717, 718,  23, -15,70.12551880,1.78928506,-2.20051217,-41.29797890,-56.67508558,203.99837194,1.77681994,0.10700694,0.16981868,4.45810413
